Type,Slot,Item,Dungeon,value,Stat,Link,ID
Mace,1H Weapon,G3T-00t,The MOTHERLODE!!,ml,Intellect,https://www.wowhead.com/ptr-2/item=159641/g3t-00t,159641
Sword,1H Weapon,Tearing Sawtooth Blade,Operation: Mechagon,work,Strength,https://www.wowhead.com/ptr-2/item=169608/tearing-sawtooth-blade,169608
Warglaives,1H Weapon,Sonic Ka-BOOM!-erang,Operation: Floodgate,fg,Agility,https://www.wowhead.com/ptr-2/item=234491/sonic-ka-boom-erang,234491
Axe,2H Weapon,Dessia's Decimating Decapitator,Theater of Pain,top,Strength,https://www.wowhead.com/ptr-2/item=178866/dessias-decimating-decapitator,178866
Mace,2H Weapon,Hivebreaker's Dipper,Cinderbrew Meadery,brew,Strength,https://www.wowhead.com/ptr-2/item=221063/hivebreakers-dipper,221063
Mace,2H Weapon,Crashing Thunderhammer,The Rookery,rook,Strength,https://www.wowhead.com/ptr-2/item=221038/crashing-thunderhammer,221038
Mace,2H Weapon,Electro-Arm Bludgeoner,The MOTHERLODE!!,ml,Strength,https://www.wowhead.com/ptr-2/item=159638/electro-arm-bludgeoner,159638
Polearm,2H Weapon,Glorious Defender's Poleaxe,Priory of the Sacred Flame,psf,Agility,https://www.wowhead.com/ptr-2/item=221116/glorious-defenders-poleaxe,221116
Polearm,2H Weapon,Gallytech Turbo-Tiller,Operation: Floodgate,fg,Agility,https://www.wowhead.com/ptr-2/item=234494/gallytech-turbo-tiller,234494
Polearm,2H Weapon,Xav's Pike of Authority,Theater of Pain,top,Agility,https://www.wowhead.com/ptr-2/item=178865/xavs-pike-of-authority,178865
Polearm,2H Weapon,Poleaxe of Somber Fate,Darkflame Cleft,dfc,Strength,https://www.wowhead.com/ptr-2/item=221111/poleaxe-of-somber-fate,221111
Staff,2H Weapon,Sticky Stirring Stick,Cinderbrew Meadery,brew,Agility,https://www.wowhead.com/ptr-2/item=221057/sticky-stirring-stick,221057
Staff,2H Weapon,Voltaic Stormcaller,The Rookery,rook,Intellect,https://www.wowhead.com/ptr-2/item=221032/voltaic-stormcaller,221032
Staff,2H Weapon,Neural Synapse Enhancer,Operation: Mechagon,work,Intellect,https://www.wowhead.com/ptr-2/item=168973/neural-synapse-enhancer,168973
Sword,2H Weapon,Emberbrand Zweihander,Priory of the Sacred Flame,psf,Strength,https://www.wowhead.com/ptr-2/item=221127/emberbrand-zweihander,221127
Sword,2H Weapon,Circuit Breaker,Operation: Floodgate,fg,Strength,https://www.wowhead.com/ptr-2/item=234490/circuit-breaker,234490
Bow,Ranged,Ireborne Stormbow,The Rookery,rook,Agility,https://www.wowhead.com/ptr-2/item=221039/ireborne-stormbow,221039
Gun,Ranged,Keeza's 'B.' B.B.B.F.G,Operation: Floodgate,fg,Agility,https://www.wowhead.com/ptr-2/item=234492/keezas-b-b-b-b-f-g,234492
Gun,Ranged,P.A.C.I.F.I.S.T. Mk7,The MOTHERLODE!!,ml,Agility,https://www.wowhead.com/ptr-2/item=159639/p-a-c-i-f-i-s-t-mk7,159639
Off-Hand,Off-Hand,Vessel of the Beverage,Cinderbrew Meadery,brew,Intellect,https://www.wowhead.com/ptr-2/item=221056/vessel-of-the-beverage,221056
Off-Hand,Off-Hand,Arcane Scuttle,Darkflame Cleft,dfc,Intellect,https://www.wowhead.com/ptr-2/item=221097/arcane-scuttle,221097
Off-Hand,Off-Hand,Deathwalker's Promise,Theater of Pain,top,Agility,https://www.wowhead.com/ptr-2/item=178868/deathwalkers-promise,178868
Shield,Off-Hand,Sanctified Priory Wall,Priory of the Sacred Flame,psf,Intellect/Strength,https://www.wowhead.com/ptr-2/item=221117/sanctified-priory-wall,221117
Shield,Off-Hand,Galebreaker Bulwark,The Rookery,rook,Intellect/Strength,https://www.wowhead.com/ptr-2/item=221045/galebreaker-bulwark,221045
Shield,Off-Hand,Barricade of the Endless Empire,Theater of Pain,top,Intellect/Strength,https://www.wowhead.com/ptr-2/item=178867/barricade-of-the-endless-empire,178867
Shield,Off-Hand,G0-4W4Y Crowd Repeller,The MOTHERLODE!!,ml,Intellect/Strength,https://www.wowhead.com/ptr-2/item=159663/g0-4w4y-crowd-repeller,159663
